user_id,age_group,location,device_type,subscription_type,days_since_registration,total_purchases,avg_order_value,last_purchase_days,sessions_last_30_days,time_on_site_minutes,pages_per_session,cart_abandonment_rate,purchase_frequency,dar_promocion
USER-000001,18-25,Mendoza,Mobile,Free,38,6,341.58,139.0,2,71.3,,0.075,4.74,1
USER-000002,26-35,Buenos Aires,Mobile,Basic,246,34,215.56,114.0,18,34.1,17.5,0.607,4.15,0
USER-000003,36-45,Buenos Aires,Mobile,Enterprise,284,21,60.08,97.0,3,43.7,7.5,0.212,2.22,1
USER-000004,36-45,Cordoba,Tablet,Free,343,35,153.66,160.0,19,106.4,7.9,0.154,3.06,0
USER-000005,18-25,Buenos Aires,Mobile,Free,330,14,434.58,97.0,8,55.0,16.8,0.13,1.27,1
USER-000006,18-25,Buenos Aires,Tablet,Basic,184,38,321.14,136.0,23,30.1,9.8,0.216,6.2,0
USER-000007,36-45,Buenos Aires,Mobile,Premium,38,3,122.23,,25,38.5,6.1,0.169,2.37,1
USER-000008,46-55,Buenos Aires,Desktop,Free,75,41,234.84,67.0,4,30.3,11.7,0.21,16.4,1
USER-000009,26-35,Rosario,Mobile,Enterprise,66,8,259.67,23.0,24,6.6,3.1,0.502,3.64,1
USER-000010,26-35,Buenos Aires,Mobile,Enterprise,17,33,133.19,141.0,27,113.1,13.9,0.092,33.0,0
USER-000011,,Mendoza,Mobile,Free,91,10,232.32,67.0,16,91.7,10.6,,3.3,0
USER-000012,26-35,Rosario,Desktop,Free,45,48,89.16,135.0,29,1.1,7.2,0.016,32.0,1
USER-000013,46-55,La Plata,Mobile,Free,180,36,474.01,21.0,23,58.8,,0.608,6.0,0
USER-000014,18-25,Cordoba,Mobile,Free,301,38,217.34,54.0,29,65.2,,0.161,3.79,1
USER-000015,26-35,Rosario,Mobile,Premium,206,28,69.29,,2,41.2,12.2,0.184,4.08,1
USER-000016,18-25,,Mobile,Free,253,2,431.22,18.0,16,29.3,13.7,0.171,0.24,0
USER-000017,36-45,,Mobile,Free,298,30,405.67,48.0,3,12.5,9.2,0.339,3.02,0
USER-000018,46-55,Buenos Aires,Desktop,Basic,126,3,207.28,86.0,25,,5.7,0.152,0.71,0
USER-000019,18-25,Buenos Aires,Mobile,Premium,136,4,,140.0,3,7.0,20.0,0.669,,0
USER-000020,46-55,La Plata,Mobile,Basic,318,13,433.68,15.0,5,46.1,19.7,0.212,1.23,1
USER-000021,26-35,Rosario,Desktop,Premium,133,42,362.02,39.0,6,,19.4,,9.47,0
USER-000022,18-25,,Mobile,Basic,88,33,87.14,130.0,2,102.3,2.3,,11.25,1
USER-000023,26-35,Otros,Mobile,Basic,245,2,313.5,107.0,21,70.5,10.9,0.748,0.24,1
USER-000024,36-45,,Mobile,Free,261,41,157.0,80.0,29,90.5,2.4,0.367,4.71,1
USER-000025,55+,Buenos Aires,Mobile,Free,77,22,441.62,62.0,11,34.9,,,8.57,0
USER-000026,36-45,Otros,Desktop,Free,211,35,156.7,169.0,3,112.7,,0.092,4.98,1
USER-000027,36-45,Buenos Aires,Mobile,Free,311,21,109.76,162.0,27,32.4,10.3,0.724,2.03,0
USER-000028,18-25,Cordoba,Mobile,Free,339,49,74.1,67.0,5,89.2,11.5,0.342,4.34,1
USER-000029,18-25,Otros,Desktop,Free,361,2,418.95,,17,18.6,3.4,0.247,0.17,1
USER-000030,,Buenos Aires,Mobile,Free,345,49,284.34,104.0,19,90.2,18.6,0.189,4.26,1
USER-000031,55+,,Desktop,Free,282,47,463.0,105.0,25,80.7,15.0,0.199,,0
USER-000032,36-45,Buenos Aires,Desktop,Premium,284,14,107.79,117.0,11,37.3,16.1,0.182,1.48,1
USER-000033,36-45,Cordoba,Mobile,Free,353,49,146.77,164.0,16,48.6,19.6,0.429,4.16,0
USER-000034,18-25,Otros,Mobile,Enterprise,351,16,28.75,152.0,13,42.1,15.9,,1.37,0
USER-000035,18-25,La Plata,Mobile,Free,104,27,10.83,137.0,21,86.6,15.1,,7.79,1
USER-000036,26-35,Otros,Tablet,Basic,179,42,425.53,76.0,16,37.8,8.8,0.322,7.04,0
USER-000037,36-45,Buenos Aires,Desktop,Free,214,47,452.37,,18,36.8,11.4,0.0,6.59,1
USER-000038,18-25,Mendoza,Desktop,Free,219,28,226.66,54.0,16,57.3,18.1,0.637,3.84,1
USER-000039,36-45,Buenos Aires,Desktop,Basic,279,5,411.03,60.0,21,37.9,16.3,0.118,0.54,1
